,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000108590.9,0.945387097832889,0.88090997717275,1.0145835419158,0.119174371466102,0.934620138710663,0.842392842069331,1.03694471279903,0.20210941094598,MED31
ENSG00000196418.11,0.941074136461249,0.891189291543809,0.993751314922247,0.0288498017840483,0.942294718035004,0.85825425101102,1.03456444822814,0.212386221905096,ZNF124
ENSG00000182195.7,1.02620962951633,0.999363604244668,1.05377682280914,0.0557613749757652,1.02358507187736,0.983859749051868,1.06491438477878,0.248394320367175,LDOC1
ENSG00000241399.5,0.951994657874477,0.915595461966294,0.98984089182271,0.0133861907370807,0.964543568579479,0.906383656649717,1.02643542705402,0.255252277901423,CD302
ENSG00000204580.10,0.970612821264588,0.925761633177317,1.01763695430955,0.216577525285007,0.953531046565326,0.877659007244681,1.03596208693667,0.260673521501204,DDR1
ENSG00000142794.17,0.973423989470889,0.933984099248143,1.01452933089568,0.201811089744414,0.964449073787013,0.90484209274373,1.02798269818342,0.266101346277289,NBPF3
ENSG00000139343.9,1.06484240960262,1.00256638007128,1.13098681526473,0.0410204013301791,1.06173916987486,0.953780849444575,1.18191727743645,0.27350996361699,SNRPF
ENSG00000198182.11,0.990493676219732,0.951092798121966,1.03152681270274,0.644651232571731,0.965288651336163,0.901824904277509,1.03321850614103,0.308601866397738,ZNF607
ENSG00000151553.13,0.939487123264417,0.86447521854516,1.02100793156923,0.141488954920849,0.941380676035665,0.836501667351309,1.05940921793906,0.316173750649984,FAM160B1
ENSG00000145416.12,0.978155769645171,0.937550175890106,1.02052000446991,0.307260906766829,0.97802269906125,0.934034455569989,1.02408256373726,0.343920241251682,MARCH1
ENSG00000205060.9,1.06692092906167,0.987264930196792,1.15300385342657,0.101793757066459,1.06233488576288,0.936383748166453,1.20522746333293,0.347663586463181,SLC35B4
ENSG00000136842.12,1.02822470728047,1.00498216983021,1.05200478217503,0.0170332147087753,1.02032312313976,0.975262374882495,1.06746584552604,0.382645301647352,TMOD1
ENSG00000185100.9,1.01080345474637,0.97907676500361,1.04355823838127,0.508993652312952,1.01813341151753,0.975616092136475,1.06250363437356,0.40896781023013,ADSSL1
ENSG00000175643.8,1.05031798399154,1.00563552467631,1.09698577707977,0.0268752627039644,1.03987582654219,0.947232806187373,1.14157969145857,0.411473783363526,RMI2
ENSG00000166037.9,0.936366261637532,0.860173458047238,1.01930810318597,0.128930753076813,0.946666693476506,0.829624240674685,1.08022136360062,0.41566613583311,CEP57
ENSG00000163945.14,0.95148184891717,0.901484505093536,1.00425210162087,0.0709347412819875,0.959175658260045,0.861971835789056,1.0673410721783,0.444539836480742,UVSSA
ENSG00000204267.12,1.01190122703379,0.963003838018961,1.06328142510719,0.639658054945913,1.03609469928868,0.946035662473124,1.13472701767687,0.444708422823324,TAP2
ENSG00000175137.10,0.963771072202744,0.87929327706036,1.05636504207124,0.430453331555062,0.954854038693394,0.845691657727714,1.07810716456498,0.455782327728647,SH3BP5L
ENSG00000171903.15,0.999494071855036,0.985709395366543,1.0134715204798,0.943063696659226,1.00896348071724,0.98363640408249,1.03494268938797,0.491473902551698,CYP4F11
ENSG00000205269.5,0.972531071858518,0.933641483966502,1.0130405535453,0.180990329457402,0.973514116580559,0.898101703730101,1.05525881004947,0.514072319636439,TMEM170B
ENSG00000037637.9,0.964825937857267,0.861934622924097,1.07999964916612,0.533710563853844,0.95706537977134,0.832373441496984,1.10043652943746,0.537788321973031,FBXO42
ENSG00000196683.9,1.02247396771456,0.95840072615138,1.09083078312362,0.500871875433108,1.01704618802644,0.943424850987434,1.0964126580898,0.659298462529116,TOMM7
ENSG00000272047.1,1.03129810758137,0.959264727749694,1.10874063846372,0.404158433069289,1.02478828273885,0.918287635487836,1.14364060219642,0.661850575268058,GTF2H5
